"originalPlace","interpretedPlace","longitude","latitude","xmin","xmax","ymin","ymax","uncertainty"
"Algeria","Algeria",1.659626,28.033886,-8.6666671,11.9999998,18.968147,37.0898205,1397265
"Argentina","Argentina",-63.616672,-38.416097,-73.5603602,-53.637481,-55.0577146,-21.7808136,1997198
"Armenia","Armenia",45.038189,40.069099,43.447212,46.634222,38.840244,41.300993,192235
"Australia","Australia",133.775136,-25.274398,112.9214544,159.2555283,-54.7772185,-9.2210836,3233979
"Austria","Austria",14.550072,47.516231,9.5307834,17.1606861,46.3723358,49.0206081,255835
"Brazil","Brazil",-51.92528,-14.235004,-73.982817,-29.3450235,-33.7517484,5.271602,3108668
"Bulgaria","Bulgaria",25.48583,42.733883,22.3573446,28.6092632,41.2354469,44.2152333,301392
"Canada","Canada",-106.346771,56.130366,-142,-50,41.6765559,83.115061,3015176
"Chile","Chile",-71.542969,-35.675147,-109.4548806,-66.4182017,-55.9797808,-17.4983292,2085827
"China","China",104.195397,35.86166,73.4994137,134.77281,18.1535216,53.560974,3078973
"Croatia","Croatia",15.2,45.1,13.4896912,19.4480523,42.3922652,46.5552234,331300
"Cyprus","Cyprus",33.429859,35.126413,32.2687076,34.6045,34.632303,35.7072,119454
"Czech.Rep.","Czech Republic",15.472962,49.817492,12.090589,18.8592361,48.5518081,51.0557185,276810
"France","France",2.213749,46.227638,-5.1412279,9.5600678,41.3423276,51.089166,763939
"Georgia",NA,-19.77159155,37.24051455,-85.6051649,46.736119,30.3555908,43.586627,5530034
"Germany","Germany",10.451526,51.165691,5.8663425,15.0418962,47.2701115,55.058347,530655
"Greece","Greece",21.824312,39.074208,19.3724227,29.6451476,34.8010211,41.7488784,523270
"Hungary","Hungary",19.503304,47.162494,16.1133866,22.8981217,45.7370889,48.585234,298855
"Italy","Italy",12.56738,41.87194,6.6267201,18.5205015,35.4929201,47.092,748682
"Japan","Japan",138.252924,36.204824,122.9338302,153.9874305,24.0460446,45.5227719,1677291
"Kazakhstan","Kazakhstan",66.923684,48.019573,46.4936719,87.315415,40.568584,55.441984,1621857
"Luxembourg","Luxembourg",6.129583,49.815273,5.7356699,6.5309701,49.447779,50.18282,49802
"Mexico",NA,-97.2200275,31.4037831,-118.36443,-86.7105711,14.5345485,39.2078039,1289124
"Moldova","Moldova",28.369885,47.411631,26.6168559,30.162538,45.466904,48.491944,179785
"Morocco","Morocco",-7.09262,31.791702,-13.1728914,-0.9969758,27.6666665,35.9225072,727026
"Myanmar","Republic of the Union of Myanmar",95.956223,21.913965,92.171808,101.1702717,9.5990195,28.5478351,905805
"New.Zealand","New Zealand",174.885971,-40.900557,165.8694369,179.0625357,-52.6194185,-29.2313419,1353137
"Peru","Peru",-75.015152,-9.189967,-81.3285041,-68.652329,-18.3515802,-0.038777,1226730
"Portugal","Portugal",-8.224454,39.399872,-31.2753296,-6.1902091,32.40374,42.1542048,351279
"Romania","Romania",24.96676,45.943161,20.2617592,29.7571015,43.6186193,48.265274,445474
"Russia",NA,15.11832535,52.39134505,-75.0834543,179,40,81.858122,5062604
"Serbia","Serbia",21.005859,44.016521,18.8385221,23.0063095,42.231503,46.190032,265487
"Slovakia","Slovakia",19.699024,48.669026,16.8331821,22.5589339,47.731159,49.6138051,233299
"Slovenia","Slovenia",14.995463,46.151241,13.3753355,16.5966857,45.4216739,46.876659,146856
"South.Africa","South Africa",22.937506,-30.559482,16.4608321,32.8909911,-34.8331382,-22.1253869,770691
"Spain","Spain",-3.74922,40.463667,-18.160788,5.098,27.6377894,45.244,896044
"Switzerland","Switzerland",8.227512,46.818188,5.95608,10.4923401,45.81792,47.8084546,203384
"Thailand","Thailand",100.992541,15.870032,97.343396,105.636812,5.6127293,20.465143,709067
"Tunisia","Tunisia",9.537499,33.886917,7.5223134,11.5992173,30.2280336,37.3582873,429076
"Turkey","Turkey",35.243322,38.963745,25.6636372,44.818128,35.8076804,42.106239,881708
"Ukraine","Ukraine",31.16558,48.379433,22.1371589,40.228581,44.386463,52.379581,781533
"United.Kingdom","United Kingdom",-3.435973,55.378051,-8.6493572,33.916555,34.5640831,60.902396,2244973
"United.States","United States",-95.712891,37.09024,-124.39,-66.94,25.82,49.38,2680757
"Uruguay","Uruguay",-55.765835,-32.522779,-58.43915,-53.1847359,-35.0314185,-30.085215,365893
